Source:,/media/root/Work Stuff/EIE553/IOT/IOT.sch,,,,
Date:,Sun Sep 23 15:01:01 2018,,,,
Tool:,Eeschema 5.0.0+dfsg1-1,,,,
Component Count:,14,,,,
Ref,Value,Footprint,Datasheet,Manufacturer,Vendor
BZ1,3V3 Active Buzzer (3.3V直插有源蜂鸣器),Buzzer_Beeper:Buzzer_12x9.5RM7.6,~,,
C1,100n/50V,Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm,~,,
D1,5MM_YELLOW_LED (5mm白发黄直插LED，透明圆头),LED_THT:LED_D5.0mm,~,,
D2,5MM_GREEN_LED (5mm白发绿直插LED，透明圆头),LED_THT:LED_D5.0mm,~,,
D3,5MM_RED_LED (5mm白发红直插LED，透明圆头),LED_THT:LED_D5.0mm,~,,
Q1,S8050 (S8050 三极管),Package_TO_SOT_THT:TO-92,~,,
R1,1K/0.25W,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~,,
R2,330R/0.25W,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~,,
R3,330R/0.25W,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~,,
R4,330R/0.25W,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~,,
R5,GL5506 (GL5506光敏电阻),OptoDevice:R_LDR_5.1x4.3mm_P3.4mm_Vertical,~,,
R6,10K/0.25W,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~,,
U1,Single_Row_2.54mm 19P_Female_Header*2 (单行2.54mm 19P 排母 * 2条),IOT:nodemcu_esp32s,,,
U2,Single_Row_2.54mm_4P_Female_Header*1 (单行2.54mm 4P 排母 * 1条 [另加M2铜柱，见原理图]),IOT:oled_4pin,,,
